lokalita;plocha;datum_m;status;prist;stab;azimut_stab;vzd_stab;identifikace;duv_neob;kat_poz;poz_les;meric;pozn_plocha;datum_m_pred;prist_pred;kat_poz_pred;poz_les_pred;nadm_vyska;lt;cil_zasoba;cbp;vyr_doba;mdcel
10000001,0;1;2022-05-25;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-08;100;100;100;331,6;2S4;150,0;5,8;50,0;4,6
10000002,0;1;2022-06-06;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-08;100;100;100;309,95;2S1;150,0;5,8;50,0;4,6
10000003,0;1;2022-06-07;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-08;100;100;100;282,68;2C1;150,0;5,8;50,0;4,6
10000012,0;1;2022-06-10;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-15;100;100;100;351,38;2B4;150,0;5,8;50,0;4,6
10000013,0;1;2022-06-10;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-15;100;100;100;338,23;2B4;150,0;5,8;50,0;4,6
10000015,0;1;2022-06-08;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-09;100;100;100;297,12;2C1;150,0;5,8;50,0;4,6
10000022,0;1;2022-06-10;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-15;100;100;100;296,0;2B4;150,0;5,8;50,0;4,6
10000027,0;1;2022-06-10;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-15;100;100;100;309,46;2B4;150,0;5,8;50,0;4,6
10000101,0;1;2022-05-25;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-08;100;100;100;337,21;2H4;150,0;5,8;50,0;4,6
10000104,0;1;2022-06-06;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-10;100;100;100;363,66;2H1;150,0;5,8;50,0;4,6
10000105,0;1;2022-05-25;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-10;100;100;100;354,87;2B4;150,0;5,8;50,0;4,6
10000106,0;1;2022-06-07;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-10;100;100;100;326,85;2B4e;150,0;5,8;50,0;4,6
10000108,0;1;2022-06-08;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;oploceni plosne,vyzkumna ploch;2013-07-09;100;100;100;298,27;2S4;150,0;5,8;50,0;4,6
10000113,0;1;2022-06-07;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-11;100;100;100;291,71;2C1;150,0;5,8;50,0;4,6
10000114,0;1;2022-06-09;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-09;100;100;100;266,97;2C1;150,0;5,8;50,0;4,6
10000115,0;1;2022-06-09;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-09;100;100;100;241,28;2C1;150,0;5,8;50,0;4,6
10000121,0;1;2022-06-09;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-11;100;100;100;255,73;2B4;150,0;5,8;50,0;4,6
10000202,0;1;2022-06-06;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;306,61;2S3;150,0;5,8;50,0;4,6
10000203,0;1;2022-06-07;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;262,25;2S1e;150,0;5,8;50,0;4,6
10000206,0;1;2022-06-06;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;316,38;2S1;150,0;5,8;50,0;4,6
10000207,0;1;2022-06-06;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;286,2;2S3;150,0;5,8;50,0;4,6
10000208,0;1;2022-06-07;200;100;100;0,0;0,0;;;100;300;Zahradnicek;usychajici koruny;1901-01-01;;;;292,73;2S3;150,0;5,8;50,0;4,6
10000209,0;1;2022-05-25;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-24;100;100;100;328,87;2B4;150,0;5,8;50,0;4,6
10000210,0;1;2022-06-07;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;326,19;2S4;150,0;5,8;50,0;4,6
10000211,0;1;2022-06-08;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;290,39;2S4e;150,0;5,8;50,0;4,6
10000215,0;1;2022-06-07;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-24;100;100;100;293,97;2C1;150,0;5,8;50,0;4,6
10000216,0;1;2022-06-08;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-17;100;100;100;313,39;2S4;150,0;5,8;50,0;4,6
10000217,0;1;2022-06-08;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-24;100;100;100;278,82;2S4;150,0;5,8;50,0;4,6
10000219,0;1;2022-05-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-19;100;100;100;356,76;2B4;150,0;5,8;50,0;4,6
10000221,0;1;2022-06-07;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;333,96;2C1;150,0;5,8;50,0;4,6
10000229,0;1;2022-06-07;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;303,21;2C1;150,0;5,8;50,0;4,6
10000231,0;1;2022-06-09;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-24;100;100;100;246,88;2C1;150,0;5,8;50,0;4,6
10000236,0;1;2022-06-10;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;302,18;3D9;150,0;5,8;50,0;4,6
10000237,0;1;2022-06-09;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;292,48;2B4;150,0;5,8;50,0;4,6
10000238,0;1;2022-06-09;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-24;100;100;100;262,01;2B4e;150,0;5,8;50,0;4,6
10000247,0;1;2022-06-08;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;313,09;2B4;150,0;5,8;50,0;4,6
10000248,0;1;2022-06-09;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-22;100;100;100;310,62;2C1;150,0;5,8;50,0;4,6
20075380,0;1;2022-12-05;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;409,48;2H3;150,0;7,8;50,0;4,6
20079383,0;1;2022-12-05;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;414,36;2H3;150,0;7,8;50,0;4,6
20096444,0;1;2022-12-05;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;410,14;2C9;150,0;7,8;50,0;4,6
20100449,0;1;2022-11-29;200;100;100;0,0;0,0;;;100;100;Zahradnicek;V op.ocence jenBO;1901-01-01;;;;394,67;2B4;150,0;5,8;50,0;4,6
20103472,0;1;2022-12-05;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;417,67;2C9;150,0;7,8;50,0;4,6
20107480,0;1;2022-12-05;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;419,27;2W4;150,0;7,8;50,0;4,6
20113474,0;1;2022-12-02;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;401,77;2H3;150,0;7,8;50,0;4,6
20114491,0;1;2022-12-05;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;424,81;2W4;150,0;7,8;50,0;4,6
20116468,0;1;2022-12-02;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;353,99;2S1;150,0;5,8;50,0;4,6
20118474,0;1;2022-12-02;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;355,03;2H3;150,0;5,8;50,0;4,6
20121496,0;1;2022-12-05;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;423,06;2C9;150,0;7,8;50,0;4,6
20121508,0;1;2022-12-06;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;435,13;2W4;150,0;7,8;50,0;4,6
20122485,0;1;2022-12-02;200;100;100;0,0;0,0;;;100;100;Zahradnicek;BRK a tenke stromy bez zasahu;1901-01-01;;;;374,66;2H3;150,0;5,8;50,0;4,6
20124502,0;1;2022-12-05;200;100;100;0,0;0,0;;;100;100;Zahradnicek;Mlazina, jenstare parezy;1901-01-01;;;;420,95;2C9;150,0;7,8;50,0;4,6
20126490,0;1;2022-12-06;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;375,18;2H3;150,0;5,8;50,0;4,6
20127519,0;1;2022-12-06;200;100;100;0,0;0,0;;;100;200;Zahradnicek;;1901-01-01;;;;439,13;2B1;150,0;7,8;50,0;4,6
20128512,0;1;2022-12-06;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;428,66;2C9;150,0;7,8;50,0;4,6
20129490,0;1;2022-12-06;200;100;100;0,0;0,0;;;100;100;Zahradnicek;Porost bez hroubi;1901-01-01;;;;346,88;2H3;150,0;5,8;50,0;4,6
20134510,0;1;2022-12-06;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;405,34;2H3;150,0;7,8;50,0;4,6
20136517,0;1;2022-12-06;200;100;100;0,0;0,0;;;100;100;Zahradnicek;;1901-01-01;;;;416,42;2H3;150,0;7,8;50,0;4,6
30000018,0;1;2022-05-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-06-24;100;100;100;351,6;2S4;70,0;5,8;50,0;4,6
30000019,0;1;2022-05-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-06-26;100;100;100;325,15;2D5;70,0;5,8;50,0;4,6
30000020,0;1;2022-06-13;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-12;100;100;100;328,89;2D9;70,0;5,8;50,0;4,6
30000025,0;1;2022-05-23;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;parezy odstraneny nektere;2013-07-07;100;100;100;352,73;2B4;70,0;5,8;50,0;4,6
