lokalita;plocha;kmen;mod_vys
10000001;1;1;22,5
10000001;1;2;22,0
10000001;1;3;15,5
10000001;1;4;12,7
10000001;1;5;13,6
10000001;1;6;10,4
10000001;1;7;9,9
10000001;1;8;13,4
10000001;1;9;15,1
10000001;1;10;13,0
10000001;1;11;13,2
10000001;1;12;23,8
10000001;1;13;21,0
10000001;1;14;22,3
10000001;1;15;11,8
10000001;1;16;12,2
10000001;1;17;18,3
10000002;1;1;21,8
10000002;1;2;16,0
10000002;1;3;21,5
10000002;1;4;20,8
10000002;1;5;23,0
10000002;1;6;17,8
10000002;1;7;21,8
10000002;1;8;21,8
10000002;1;9;22,4
10000002;1;10;22,3
10000002;1;11;21,2
10000003;1;1;14,2
10000003;1;2;13,3
10000003;1;3;15,0
10000003;1;4;12,2
10000003;1;5;12,4
10000003;1;6;12,8
10000003;1;7;15,5
10000003;1;8;15,0
10000003;1;9;14,1
10000003;1;10;14,5
10000003;1;11;13,8
10000003;1;12;16,6
10000003;1;13;15,9
10000003;1;14;14,9
10000003;1;15;16,1
10000003;1;16;14,1
10000003;1;17;17,4
10000003;1;18;13,3
10000003;1;19;15,0
10000012;1;1;15,8
10000012;1;2;15,2
10000012;1;3;17,0
10000012;1;4;12,1
10000012;1;5;15,5
10000012;1;6;13,9
10000012;1;7;13,6
10000012;1;8;15,5
10000012;1;9;15,9
10000012;1;10;11,8
10000012;1;11;13,0
10000012;1;12;14,7
10000012;1;13;11,9
10000012;1;14;11,8
10000013;1;1;24,4
10000013;1;2;21,0
10000013;1;3;20,3
10000013;1;4;22,5
10000013;1;5;21,9
10000013;1;6;24,8
10000013;1;7;19,8
10000013;1;8;21,6
10000013;1;9;20,3
10000013;1;10;22,8
10000013;1;11;22,5
10000013;1;12;21,5
10000013;1;13;24,7
10000013;1;14;22,2
10000013;1;15;11,5
10000013;1;16;10,1
10000013;1;17;20,2
10000013;1;18;24,0
10000013;1;19;13,3
10000015;1;1;16,6
10000015;1;2;15,6
10000015;1;3;16,3
10000015;1;4;13,4
10000015;1;5;14,8
10000015;1;6;16,4
10000015;1;7;17,4
10000015;1;8;18,0
10000015;1;9;18,5
10000015;1;10;17,5
10000015;1;11;15,7
10000022;1;1;14,5
10000022;1;2;16,7
10000022;1;3;23,2
10000022;1;4;23,0
10000022;1;5;21,2
10000022;1;6;22,3
10000022;1;7;21,1
10000022;1;8;18,1
10000022;1;9;23,8
10000022;1;10;18,5
10000022;1;11;23,2
10000022;1;12;23,1
10000022;1;13;28,3
10000022;1;14;21,6
10000022;1;15;23,5
10000022;1;16;21,5
10000022;1;17;21,4
10000022;1;18;20,9
10000022;1;19;14,3
10000027;1;1;13,7
10000027;1;2;21,8
10000027;1;3;16,7
10000027;1;4;15,8
10000027;1;5;23,9
10000027;1;6;21,1
10000027;1;7;11,7
10000027;1;8;16,2
10000027;1;9;22,0
10000027;1;10;12,4
10000101;1;1;24,1
10000101;1;2;25,1
10000101;1;3;15,0
10000101;1;4;23,5
10000101;1;5;23,9
10000101;1;6;23,2
10000101;1;7;13,1
10000101;1;8;23,8
10000101;1;9;25,6
10000101;1;10;17,3
10000101;1;11;24,8
10000101;1;12;13,6
10000104;1;1;8,7
10000104;1;2;21,7
10000104;1;3;20,1
10000104;1;4;23,2
10000104;1;5;27,0
10000104;1;6;27,7
10000104;1;7;28,4
