lokalita;plocha;pomno;x_m;y_m;popis
10000001,0;1;1,0;13,95;8,16;LP DBH=120mm
10000001,0;1;2,0;-3,32;15,33;HB DBH=130mm
10000002,0;1;1,0;-17,67;4,72;DB DBH=150mm
10000002,0;1;2,0;8,97;11,67;
10000003,0;1;1,0;-22,14;-13,52;
10000003,0;1;2,0;12,94;-4,61;DB DBH cca 200mm
10000012,0;1;1,0;0,21;15,44;
10000012,0;1;2,0;-10,19;2,75;LP DBH=215mm
10000013,0;1;1,0;-4,46;15,06;HB 150mm
10000013,0;1;2,0;12,29;8,75;DB cca 200mm
10000013,0;1;3,0;6,42;13,27;
10000015,0;1;1,0;-9,65;12,85;
10000015,0;1;2,0;5,74;6,51;DB DBH=280mm
10000022,0;1;1,0;19,91;-4,48;
10000022,0;1;2,0;2,52;-5,34;
10000027,0;1;1,0;9,43;15,34;
10000027,0;1;2,0;8,82;7,55;KL DBH 140
10000027,0;1;3,0;-0,25;-1,77;
10000101,0;1;1,0;-19,04;15,53;
10000101,0;1;2,0;16,69;2,1;HB DBH=280mm
10000101,0;1;3,0;-7,11;8,59;HB DBH=cca 150mm
10000104,0;1;1,0;-7,02;-20,64;
10000104,0;1;2,0;8,69;-11,08;LP 280
10000104,0;1;3,0;-7,51;-4,83;JV 124
10000105,0;1;1,0;3,03;16,71;
10000105,0;1;2,0;-14,08;-1,23;DB 410mm
10000106,0;1;1,0;-14,7;-6,98;
10000106,0;1;2,0;0,57;-3,19;
10000108,0;1;1,0;16,11;-4,77;DB 200,X-11
10000108,0;1;2,0;12,07;11,17;
10000113,0;1;1,0;5,0;18,09;
10000113,0;1;2,0;17,83;-3,7;DB DBH=160mm
10000114,0;1;1,0;-13,02;0,78;
10000114,0;1;2,0;-4,28;-3,11;
10000115,0;1;1,0;-0,11;-13,42;
10000115,0;1;2,0;-12,13;-0,47;HB 150
10000121,0;1;1,0;-15,16;-10,72;
10000121,0;1;2,0;4,14;2,97;
10000202,0;1;1,0;4,84;-17,36;
10000202,0;1;2,0;-6,61;7,44;
10000203,0;1;1,0;5,11;-11,9;
10000203,0;1;2,0;-12,23;-2,25;DB DBH = 220 mm
10000206,0;1;1,0;12,31;-11,6;
10000206,0;1;2,0;7,63;7,35;LP DBH=200mm
10000207,0;1;1,0;12,22;-8,31;HB DBH=70mm
10000207,0;1;2,0;7,17;9,12;DB DBH=275mm
10000208,0;1;1,0;11,28;12,43;
10000208,0;1;2,0;-2,5;-10,03;DB 150
10000209,0;1;1,0;4,62;-16,98;DB DBH=300mm
10000209,0;1;2,0;13,31;3,48;DB DBH=265mm
10000210,0;1;1,0;4,79;-19,25;
10000210,0;1;2,0;11,1;14,57;DB DBH=275mm
10000211,0;1;1,0;-4,03;-12,5;
10000211,0;1;2,0;-11,31;4,49;HB DBH=85mm
10000215,0;1;1,0;15,53;8,27;
10000215,0;1;2,0;-4,73;-14,56;DB
10000216,0;1;1,0;-17,25;-22,46;
10000216,0;1;2,0;5,28;5,97;DB DBH=220mm,u plotu oplocenky
10000217,0;1;1,0;12,53;-6,01;DB 260
10000217,0;1;2,0;-0,72;13,81;
10000219,0;1;1,0;-1,49;16,69;DB
10000219,0;1;2,0;11,75;4,9;DB
10000221,0;1;1,0;-11,05;-13,07;
10000221,0;1;2,0;-11,79;8,97;DB  310
10000229,0;1;1,0;1,36;-16,81;
10000229,0;1;2,0;-12,33;0,44;DB DBH=245mm
10000231,0;1;1,0;0,57;23,5;
10000231,0;1;2,0;-7,64;1,51;
10000236,0;1;1,0;9,45;-11,67;
10000236,0;1;2,0;3,84;6,89;BK DBH 260mm
10000237,0;1;1,0;5,9;21,93;
10000237,0;1;2,0;-4,88;12,85;HB 150
10000237,0;1;3,0;4,48;0,42;
10000238,0;1;1,0;16,62;8,44;
10000238,0;1;2,0;-6,11;-4,38;HB DBH=130mm
10000247,0;1;1,0;-15,65;-7,32;
10000247,0;1;2,0;-8,56;6,28;HB 135mm
10000248,0;1;1,0;-13,01;11,56;
10000248,0;1;2,0;-5,65;-9,79;LP DBH=160mm
20075380,0;1;1,0;1,04;-8,06;DB 7 cm 10306
20075380,0;1;2,0;6,84;2,32;HB 9 cm 6289
20079383,0;1;1,0;0,15;8,22;DB 9 cm stotek 2614
20079383,0;1;2,0;-5,69;-3,39;DB 40 cm
20079383,0;1;3,0;-5,12;-0,21;Trubka s cervenym koncem
20096444,0;1;1,0;-1,66;-13,94;LP 22 cm
20096444,0;1;2,0;13,37;4,26;BK 35 cm s pruhem DIL
20100449,0;1;1,0;8,04;6,79;DB 14 cm
20100449,0;1;2,0;2,52;-1,67;HB 13 cm
20103472,0;1;1,0;-12,58;3,72;DB  26 cm
20103472,0;1;2,0;5,66;-9,58;BRK 23 cm
20107480,0;1;1,0;-15,29;9,74;HB 21 cm
20107480,0;1;2,0;-6,84;-14,82;BRK 17 cm
20113474,0;1;1,0;13,29;13,61;DB 32 cm
20113474,0;1;2,0;-16,03;0,22;HB 30 cm pruhy rezervace
20114491,0;1;1,0;12,23;10,19;HB 25 cm
20114491,0;1;2,0;-8,91;1,42;DB 26 cm
20116468,0;1;1,0;-8,15;1,68;TR 6cm 
20116468,0;1;2,0;6,0;-5,02;DB 8cm
20118474,0;1;1,0;9,77;-6,49;BO 31 cm
20118474,0;1;2,0;-7,08;6,37;LP 11cm
20121496,0;1;1,0;-19,49;2,25;DB 37 cm
20121496,0;1;2,0;7,98;5,55;BBK  28 cm
20121508,0;1;1,0;4,54;17,44;Rozcestnik
20121508,0;1;2,0;3,54;8,73;DB 32 cm
20122485,0;1;1,0;0,47;7,02;DB 12 cm
20122485,0;1;2,0;-4,98;-2,62;BREK 32 cm
20124502,0;1;1,0;-12,8;14,07;MD s bilym pruhem
20124502,0;1;2,0;-9,17;4,06;BR 5m u cesty
20126490,0;1;1,0;11,46;10,47;DB 30 cm
20126490,0;1;2,0;-1,22;-11,06;BRK 28 cm
20127519,0;1;1,0;-10,38;-19,44;Sloup elktrovodu
20127519,0;1;2,0;13,1;4,1;BBK 32 cm u silnice
20128512,0;1;1,0;0,56;23,12;HB 24 cm
20128512,0;1;2,0;3,44;-1,67;BRK 34 cm
20129490,0;1;1,0;-4,93;-1,03;BK 6m
20129490,0;1;2,0;0,71;-0,58;BK 6m
20134510,0;1;1,0;-12,93;5,46;BK  16 cm
20134510,0;1;2,0;11,42;-3,8;DB 32 cm
20136517,0;1;1,0;12,63;-6,32;DB 31 cm
20136517,0;1;2,0;-3,44;10,05;DB 29 cm
30000018,0;1;1,0;2,49;20,73;
30000018,0;1;2,0;7,22;8,63;JV DBH=cca 200 mm
30000018,0;1;3,0;-1,6;-1,3;
30000019,0;1;1,0;-15,31;15,05;
30000019,0;1;2,0;-5,42;-1,68;
30000020,0;1;1,0;13,3;0,06;
30000020,0;1;2,0;-3,78;10,6;HB DBH=150mm
30000025,0;1;1,0;16,64;1,72;DB
30000025,0;1;2,0;-8,68;8,15;LP DBH=170mm
30000026,0;1;1,0;9,18;-9,47;
30000026,0;1;2,0;0,39;-11,86;DB 270
30000026,0;1;3,0;-10,64;0,31;
30000029,0;1;1,0;-5,41;15,62;
30000029,0;1;2,0;-2,23;6,24;JV  turisticka znacka
30000030,0;1;1,0;-15,9;8,81;
30000030,0;1;2,0;8,42;-5,94;
30000030,0;1;3,0;-9,92;-2,16;HB DBH=260mm
30000030,0;1;4,0;-1,37;3,05;DB DBH=110mm
30000110,0;1;1,0;-9,92;11,87;
30000110,0;1;2,0;-0,33;13,19;HB DBH=cca110mm
30000110,0;1;3,0;8,33;2,41;HB
30000117,0;1;1,0;10,86;-8,4;
30000117,0;1;2,0;7,53;4,97;DB DBH=265mm
30000117,0;1;3,0;0,48;-4,34;
30000118,0;1;1,0;2,23;22,85;
30000118,0;1;2,0;9,56;-1,82;HB
30000119,0;1;1,0;9,97;-16,56;
30000119,0;1;2,0;6,52;10,24;LP DBH=115mm
30000128,0;1;1,0;-19,84;4,93;
30000128,0;1;2,0;4,11;-3,31;
30000212,0;1;1,0;-6,86;-14,72;
30000212,0;1;2,0;8,77;-8,75;LP DBH=195mm
30000218,0;1;1,0;-9,56;-16,88;
30000218,0;1;2,0;1,81;3,68;
30000225,0;1;1,0;-9,77;-14,77;DB
30000225,0;1;2,0;-11,71;-2,68;DB
30000226,0;1;1,0;-0,86;-16,18;KL 190
30000226,0;1;2,0;-1,29;1,41;
30000227,0;1;1,0;3,39;-14,72;
30000227,0;1;2,0;12,24;-2,42;HB trojak DBH= cca140mm
30000227,0;1;3,0;0,18;-1,88;
30000232,0;1;1,0;-10,25;-13,38;
30000232,0;1;2,0;8,87;1,86;DB
30000232,0;1;3,0;-2,87;-0,43;LP
30000233,0;1;1,0;-16,81;1,82;
30000233,0;1;2,0;-10,53;0,79;LP DBH=220mm
30000233,0;1;3,0;0,64;-0,82;
30000234,0;1;1,0;-16,72;2,01;DB
30000234,0;1;2,0;-2,2;-10,14;LP DBH=175mm
30000235,0;1;1,0;4,35;-19,39;
30000235,0;1;2,0;13,24;6,94;DB 195
30000239,0;1;1,0;14,62;-3,04;
30000239,0;1;2,0;1,02;-10,92;DB DBH=cca230 mm
30000239,0;1;3,0;0,8;0,48;
30000240,0;1;1,0;15,43;-4,6;
30000240,0;1;2,0;4,95;-12,67;HB DBH 95
30000240,0;1;3,0;-5,66;1,8;
30000241,0;1;1,0;18,31;-4,14;DB 350,oznacen cislo 23
30000241,0;1;2,0;0,27;2,28;DB 335
30000244,0;1;1,0;4,66;-12,26;DB DBH=200mm
30000244,0;1;2,0;-6,5;-10,6;LP DBH=cca 200 mm
30000245,0;1;1,0;-11,55;-11,6;DB
30000245,0;1;2,0;5,86;-3,01;TR DBH=cca 100 mm
30000249,0;1;1,0;-18,54;5,23;MD
30000249,0;1;2,0;-5,22;9,72;Tresen dbh=120mm
30000250,0;1;1,0;-8,82;-8,02;LP 25 cm
30000250,0;1;2,0;4,63;0,26;LP  u pruseku
30000254,0;1;1,0;-13,06;6,28;
30000254,0;1;2,0;-1,12;-0,17;
30000255,0;1;1,0;18,79;-6,5;
30000255,0;1;2,0;8,34;1,31;DB
30000255,0;1;3,0;1,6;-4,91;DB DBH=100mm
40000006,0;1;1,0;0,93;-16,04;U plotu
40000006,0;1;2,0;1,82;3,26;strom c.2
40000007,0;1;1,0;5,19;9,35;1m za potokem,zhruba 5m od rohu zimaku
40000007,0;1;2,0;0,31;0,09;
40000010,0;1;1,0;-22,51;-4,96;
40000010,0;1;2,0;20,86;1,83;
40000010,0;1;3,0;-7,28;4,51;Oznacen navic
40000011,0;1;1,0;-2,87;-12,93;
40000011,0;1;2,0;12,36;-4,11;
40000012,0;1;1,0;-2,46;16,16;
40000012,0;1;2,0;13,3;5,15;
40000013,0;1;1,0;0,58;14,98;U cesty
40000013,0;1;2,0;12,51;0,54;
40000014,0;1;1,0;-11,68;12,66;
40000014,0;1;2,0;-10,12;-9,45;
40000015,0;1;1,0;-14,25;6,68;
40000015,0;1;2,0;-1,69;-12,21;
40000016,0;1;1,0;-15,97;9,74;Nad pesinou
40000016,0;1;2,0;-1,38;-9,63;nad cestou
40000018,0;1;1,0;-17,73;9,09;
40000018,0;1;2,0;10,86;9,37;
40000019,0;1;1,0;-14,14;-1,76;
40000019,0;1;2,0;3,28;13,62;
40000020,0;1;1,0;20,05;22,05;Na okraji lesa, tmave zeleny p
40000020,0;1;2,0;14,11;10,72;5 m od linky
40000020,0;1;3,0;-13,73;4,53;
40000022,0;1;1,0;24,85;14,81;Nad plotem
40000022,0;1;2,0;1,25;9,77;
40000023,0;1;1,0;-12,55;6,26;
40000023,0;1;2,0;-7,29;-11,03;
40000024,0;1;1,0;-11,24;9,48;Nad cestou
40000024,0;1;2,0;-0,7;12,83;
40000027,0;1;1,0;6,98;17,5;
40000027,0;1;2,0;-12,15;3,43;
40000028,0;1;1,0;-13,87;7,0;
40000028,0;1;2,0;14,12;4,0;dvojak
40000029,0;1;1,0;-9,06;-11,9;
40000029,0;1;2,0;-5,5;-13,62;
40000029,0;1;3,0;-8,52;-9,04;
40000030,0;1;1,0;13,77;1,63;
40000030,0;1;2,0;-7,54;4,64;
40000031,0;1;1,0;21,47;16,41;
40000031,0;1;2,0;1,85;3,66;
40000032,0;1;1,0;8,88;-25,66;Mimo oploceni
40000032,0;1;2,0;3,99;26,61;Pred posedem
40000032,0;1;3,0;-3,06;5,3;
40000032,0;1;4,0;1,4;-0,61;
40000033,0;1;1,0;-15,1;2,9;Pod cestou
40000033,0;1;2,0;5,0;-5,25;
40000035,0;1;1,0;-11,49;-9,17;
40000035,0;1;2,0;-9,1;9,04;
40000036,0;1;1,0;13,55;7,27;
40000036,0;1;2,0;-11,69;-8,39;
40000036,0;1;3,0;-2,68;4,8;kmen c.6
40000039,0;1;1,0;6,76;19,98;
40000039,0;1;2,0;12,84;-7,1;
40000040,0;1;1,0;15,39;5,15;
40000040,0;1;2,0;-12,03;5,64;
40000041,0;1;1,0;-7,25;-16,85;
40000041,0;1;2,0;-3,44;11,97;nad cestou
40000042,0;1;1,0;-3,34;13,64;
40000042,0;1;2,0;11,86;6,28;DB c.53
40000043,0;1;1,0;10,05;-14,21;
40000043,0;1;2,0;-13,5;-2,2;HB u cesty
40000044,0;1;1,0;-1,8;18,65;
40000044,0;1;2,0;-0,53;-13,6;
40000045,0;1;1,0;12,49;7,06;
40000045,0;1;2,0;9,72;-5,61;
40000046,0;1;1,0;-17,53;-12,16;U potoka. Vytezen
40000046,0;1;2,0;-15,51;1,51;Nad pesinou
