lokalita;plocha;kmen;dr_zkr;x_m;y_m;azimut_km;vzd_km;opak_ident_km;parez;pol_parez;vyklizeni_km;sous;zlom_vyvrat;dvojak;kmen_pred;parez_pred;sous_pred;zlom_vyvrat_pred;tloustka_km;mvyska;mod_vys;tloustka_km_pred;mvyska_pred;mod_vys_pred;pno;pno_pred;vzornik2;vzornik2_pred;d13_depl;mod_vys_depl;pozn_km
10000001;1;1;BO;-0,11;2,65;357,6;2,65;;100;100;100;100;100;100;1;100;;;35,4;24,8;22,5;32,9;19,8;21,9;0,0;0,0;A;A;0,0;0,0;
10000001;1;2;BO;-5,71;10,56;331,6;12,0;;400;100;100;100;100;100;2;100;;;33,1;0,0;22,0;31,9;0,0;21,7;0,0;0,0;N;N;0,0;0,0;
10000001;1;3;HB;-4,49;5,34;319,9;6,98;;100;100;;100;;100;3;100;;;20,7;0,0;15,5;17,9;12,0;14,3;0,0;0,0;N;N;0,0;0,0;
10000001;1;4;DBZ;-0,84;6,02;352,1;6,08;;100;100;;500;400;100;4;100;100;100;16,3;8,0;12,7;16,6;15,9;12,9;85,0;0,0;N;N;0,0;0,0;
10000001;1;5;LP;2,83;6,03;25,1;6,66;;100;100;;100;100;100;5;100;;;15,6;0,0;13,6;14,9;9,9;13,2;0,0;0,0;N;N;0,0;0,0;
10000001;1;6;LP;2,81;-0,58;101,7;2,87;;100;100;;100;100;100;0;;;;11,1;0,0;10,4;0,0;0,0;0,0;0,0;0,0;N;N;0,0;0,0;
10000001;1;7;DBZ;4,59;3,66;51,4;5,87;;400;100;100;300;100;100;7;100;;;12,2;0,0;9,9;12,1;0,0;9,8;0,0;0,0;N;N;0,0;0,0;
10000001;1;8;LP;4,71;1,96;67,4;5,1;;400;100;100;100;;100;8;100;;;15,3;0,0;13,4;14,7;15,8;13,0;0,0;0,0;N;N;0,0;0,0;
10000001;1;9;BO;5,8;0,66;83,5;5,84;;400;100;100;100;100;100;9;100;;;16,5;0,0;15,1;16,0;0,0;14,8;0,0;0,0;N;N;0,0;0,0;
10000001;1;10;DBZ;2,63;-0,23;95,0;2,64;;100;100;;100;;100;10;100;;;16,8;12,9;13,0;14,3;11,0;11,4;0,0;0,0;A;N;0,0;0,0;
10000001;1;11;LP;2,98;-0,62;101,8;3,04;;100;100;;100;100;200;11;100;;;15,0;0,0;13,2;13,1;11,7;11,9;0,0;0,0;N;N;0,0;0,0;
10000001;1;12;BO;4,74;-2,45;117,3;5,34;;400;100;100;200;100;100;12;100;;;41,8;0,0;23,8;40,1;24,0;23,5;0,0;0,0;A;A;0,0;0,0;
10000001;1;13;BO;-4,17;-4,46;223,1;6,11;;400;100;100;100;;100;13;100;;;29,6;0,0;21,0;28,2;18,5;20,6;0,0;0,0;N;N;0,0;0,0;
10000001;1;14;BO;-7,08;-1,18;260,5;7,18;;400;100;100;100;100;100;14;100;;;34,2;0,0;22,3;31,7;0,0;21,6;0,0;0,0;N;N;0,0;0,0;
10000001;1;15;HB;0,44;-0,43;134,3;0,62;;100;100;;100;;100;15;100;;;13,1;11,6;11,8;11,0;10,5;10,4;0,0;0,0;A;A;0,0;0,0;
10000001;1;16;DBZ;0,18;6,9;1,5;6,9;;100;100;;100;;100;0;100;;;15,5;0,0;12,2;0,0;0,0;0,0;0,0;0,0;N;N;0,0;0,0;
10000001;1;17;DBZ;4,35;6,05;35,7;7,45;;100;;;100;100;100;0;;;;30,0;0,0;18,3;0,0;0,0;0,0;0,0;0,0;N;N;0,0;0,0;
10000002;1;1;DBZ;-2,65;-3,8;214,9;4,63;;400;100;100;100;100;100;1;100;;;34,5;0,0;21,8;34,1;0,0;21,7;0,0;0,0;A;A;0,0;0,0;
10000002;1;2;DBZ;-6,13;-0,93;261,4;6,2;;100;100;;100;200;100;2;100;100;100;17,6;0,0;16,0;16,9;0,0;15,6;0,0;0,0;N;N;0,0;0,0;
10000002;1;3;DBZ;-7,75;-1,39;259,8;7,87;;400;100;100;100;100;100;3;100;;;33,0;0,0;21,5;31,9;0,0;21,2;0,0;0,0;N;N;0,0;0,0;
10000002;1;4;DBZ;-6,43;2,14;288,4;6,78;;400;100;100;100;100;100;4;100;;;30,3;0,0;20,8;29,2;21,3;20,5;0,0;0,0;N;N;0,0;0,0;
10000002;1;5;DBZ;-9,38;3,68;291,4;10,08;;100;100;;100;;100;5;100;;;41,5;0,0;23,0;40,8;19,9;22,9;0,0;0,0;N;N;0,0;0,0;
